date	timestamp	cooling degrees	solar radiation	weekday	dehumidification	occupancy	chilledWater-TonDays
1/1/12	1325376000000	0	95.26086957	6	0	0	0.961857377
1/2/12	1325462400000	0	87.33333333	0	0	0.3	0.981724914
1/3/12	1325548800000	0	95.70833333	1	0	0.3	1.003671785
1/4/12	1325635200000	0	98.75	2	0	0.3	1.483192383
1/5/12	1325721600000	0	90.75	3	0	0.3	3.465090988
1/6/12	1325808000000	0	76.54166667	4	0	0.3	2.850017304
1/7/12	1325894400000	0.375	94.29166667	5	0	0.3	1.233654041
1/8/12	1325980800000	0	95.5	6	0	0.3	1.819965162
1/9/12	1326067200000	0	101.5	0	0	0.3	1.755790202
1/10/12	1326153600000	0	95.79166667	1	0	0.3	2.031340777
1/11/12	1326240000000	0	98.70833333	2	0	0.3	2.040937011
1/12/12	1326326400000	0	5.083333333	3	0	0.3	1.598126892
1/13/12	1326412800000	0	45.75	4	0	0.3	1.734152099
1/14/12	1326499200000	0	88.75	5	0	0.3	2.102609237
1/15/12	1326585600000	0	109.7083333	6	0	0.3	1.956226933
1/16/12	1326672000000	0	104.2916667	0	0	0.3	2.022602633
1/17/12	1326758400000	0	59.125	1	0	0.3	1.505160495
1/18/12	1326844800000	0	109.4166667	2	0	0.3	1.063769172
1/19/12	1326931200000	0	94.79166667	3	0	0.3	1.417285663
1/20/12	1327017600000	0	117.0833333	4	0	0.3	1.239107508
1/21/12	1327104000000	0	21.70833333	5	0	0.3	0.758384332
1/22/12	1327190400000	0	83.33333333	6	0	0.3	0.794660121
1/23/12	1327276800000	0	44.25	0	0	0.970833333	1.326296195
1/24/12	1327363200000	0.166666667	91.95833333	1	0	1	2.118289861
1/25/12	1327449600000	0	114.7916667	2	0	1	2.094743663
1/26/12	1327536000000	0	85.125	3	0	1	1.758939562
1/27/12	1327622400000	0	9.541666667	4	0	1	2.01469655
1/28/12	1327708800000	0	114.3333333	5	0	0.5	1.318781773
1/29/12	1327795200000	0	128.25	6	0	0.5	1.423205635
1/30/12	1327881600000	0	123.0833333	0	0	1	1.339140871
2/2/12	1328140800000	0	57	3	0	1	2.514854179
2/3/12	1328227200000	0	135.5416667	4	0	1	3.032868092
2/4/12	1328313600000	0	135.125	5	0	0.5	1.798435107
2/5/12	1328400000000	0	141.125	6	0	0.5	1.003067365
2/6/12	1328486400000	0	139.4166667	0	0	1	1.92692778
2/7/12	1328572800000	0	123.1666667	1	0	1	2.108031161
2/8/12	1328659200000	0	122	2	0	1	3.010381547
2/9/12	1328745600000	0	140.2916667	3	0	1	2.102828681
2/10/12	1328832000000	0	147.7916667	4	0	1	2.309198905
2/11/12	1328918400000	0	47.375	5	0	0.5	2.230806809
2/12/12	1329004800000	0	156.9583333	6	0	0.5	2.211577702
2/13/12	1329091200000	0	113	0	0	1	2.119318859
2/14/12	1329177600000	0	111.6666667	1	0	1	2.379427302
2/15/12	1329264000000	0	107.5833333	2	0	1	2.377022007
2/16/12	1329350400000	0	109.0416667	3	0	1	2.315673302
2/17/12	1329436800000	0	83.75	4	0	1	2.722070601
2/18/12	1329523200000	0	152.7083333	5	0	0.5	2.079040132
2/19/12	1329609600000	0	172.7083333	6	0	0.5	1.873923913
2/20/12	1329696000000	0	172.5	0	0	1	2.176090863
2/21/12	1329782400000	0	165.1666667	1	0	1	1.638620565
2/22/12	1329868800000	0.1375	149.5	2	0	1	2.337510049
2/23/12	1329955200000	0	93.25	3	0	1	2.630221293
2/24/12	1330041600000	0	22.75	4	0	1	1.984367409
2/25/12	1330128000000	0	121.7916667	5	0	0.5	1.604887856
2/26/12	1330214400000	0	193.0416667	6	0	0.5	0.931357408
2/27/12	1330300800000	0	170.875	0	0	1	2.006602916
2/28/12	1330387200000	0	174.75	1	0	1	2.02937434
3/1/12	1330560000000	0	20.29166667	3	0	1	1.764083045
3/2/12	1330646400000	0	75.125	4	0	1	1.482642634
3/3/12	1330732800000	0	20.45833333	5	0	0.5	1.576868077
3/4/12	1330819200000	0	61.95833333	6	0	0.5	1.220358739
3/5/12	1330905600000	0	210.9583333	0	0	1	1.138415025
3/6/12	1330992000000	0	216.0416667	1	0	1	1.954685036
3/7/12	1331078400000	0.791666667	207.75	2	0	1	2.728163835
3/8/12	1331164800000	3	112.7916667	3	0	1	3.019174014
3/9/12	1331251200000	0.375	184.75	4	0	1	1.900138434
3/10/12	1331337600000	0	169.125	5	0	0.4	0.902996871
3/11/12	1331424000000	0.291666667	217.0833333	6	0	0.4	1.820586308
3/12/12	1331510400000	2.6875	216.7083333	0	0	0.4	2.816004115
3/13/12	1331596800000	2.833333333	129.5	1	0	0.4	3.890447684
3/14/12	1331683200000	0	199.375	2	0	0.4	3.456160441
3/15/12	1331769600000	0	133.5	3	0	0.4	4.288040271
3/16/12	1331856000000	0	74.875	4	0	0.4	3.806084434
3/17/12	1331942400000	0	124.5	5	0	0.4	2.728466143
3/18/12	1332028800000	3.541666667	176.0833333	6	0	0.4	2.318039394
3/19/12	1332115200000	2.25	208.125	0	0	0.975	31.2825327
3/20/12	1332201600000	2.7	220.5416667	1	0	1	44.86136376
3/21/12	1332288000000	7.166666667	231.9166667	2	0.000226603	1	61.30101539
3/22/12	1332374400000	8.916666667	196.7083333	3	0.000135648	1	80.82744969
3/23/12	1332460800000	7.375	231.2083333	4	0	1	75.39518912
3/24/12	1332547200000	0.291666667	231.1666667	5	0	0.5	9.083298393
3/25/12	1332633600000	0	27.75	6	0	0.5	5.878540344
3/26/12	1332720000000	0	221.7916667	0	0	1	6.914346159
3/27/12	1332806400000	0	272.2916667	1	0	1	11.02282122
3/28/12	1332892800000	0	183.5833333	2	0	1	9.389291883
3/29/12	1332979200000	0	84.75	3	0	1	8.677033521
3/30/12	1333065600000	0	265.75	4	0	1	9.874010352
4/2/12	1333324800000	0	216.3333333	0	0	1	8.896396486
4/3/12	1333411200000	0.458333333	277.125	1	0	1	14.27080803
4/4/12	1333497600000	1.333333333	272.5	2	0	1	20.98860305
4/5/12	1333584000000	0	265.625	3	0	1	9.320277611
4/6/12	1333670400000	0	277.875	4	0	1	8.670884146
4/7/12	1333756800000	0	238.125	5	0	0.5	6.70270504
4/8/12	1333843200000	0	205.3333333	6	0	0.5	7.079057358
4/9/12	1333929600000	0.333333333	212.6666667	0	0	1	13.44239743
4/10/12	1334016000000	1.458333333	214.375	1	0	1	20.97526632
4/11/12	1334102400000	0	258.3333333	2	0	1	20.55523664
4/12/12	1334188800000	0.041666667	223	3	0	1	12.97183111
4/13/12	1334275200000	2	289.0416667	4	0	1	21.315787
4/14/12	1334361600000	3.708333333	284.7916667	5	0	0.5	32.85387048
4/15/12	1334448000000	6.875	236.8333333	6	0	0.5	48.92455797
4/16/12	1334534400000	9.5875	283.5833333	0	0.000508332	1	132.7535628
4/17/12	1334620800000	10.125	293.75	1	1.80E-05	1	107.8306363
4/18/12	1334707200000	0.583333333	249.7083333	2	0	1	34.03173662
4/19/12	1334793600000	1.666666667	312.4583333	3	0	1	53.89582044
4/20/12	1334880000000	4.541666667	315.5	4	0	1	67.33476271
4/21/12	1334966400000	5.666666667	258.1666667	5	0.000213168	0.5	57.96556217
4/22/12	1335052800000	1.166666667	33.875	6	0.000267847	0.5	7.667404897
4/23/12	1335139200000	2.041666667	56.08333333	0	0.000850837	1	26.40026613
4/24/12	1335225600000	0.25	200.5	1	0	1	23.18206767
4/25/12	1335312000000	1.125	245.4583333	2	0	1	27.0751485
4/26/12	1335398400000	0.625	263.2083333	3	0	1	30.71743055
4/27/12	1335484800000	0.25	316.7083333	4	2.71E-06	1	19.47454187
4/28/12	1335571200000	0.416666667	324.375	5	0	0.5	17.74519387
4/29/12	1335657600000	0.5	348.2083333	6	0	0.5	20.23265328
4/30/12	1335744000000	0	328	0	0	1	23.86731806
5/1/12	1335830400000	0	22.125	1	0	1	13.26235829
5/2/12	1335916800000	0	131.2916667	2	0	1	15.11554456
5/3/12	1336003200000	0	60.29166667	3	0	1	12.35646005
5/4/12	1336089600000	0.083333333	44	4	0	1	13.81117682
5/5/12	1336176000000	0.166666667	86.375	5	0	0.5	18.00774191
5/6/12	1336262400000	0	250.5416667	6	0	0.5	16.50031356
5/7/12	1336348800000	0.958333333	289.25	0	0	1	31.83864508
5/8/12	1336435200000	0.666666667	47.75	1	0	1	16.51947429
5/9/12	1336521600000	3.291666667	35.25	2	0.001125344	1	25.36813942
5/10/12	1336608000000	2.333333333	199.75	3	0.000155565	1	20.46726791
5/11/12	1336694400000	1.666666667	256.8333333	4	0	1	20.04077413
5/12/12	1336780800000	6.791666667	361.9166667	5	0	0.5	45.40518612
5/13/12	1336867200000	7.4875	288.125	6	0	0.5	55.01064997
5/14/12	1336953600000	1.166666667	187.9583333	0	0	1	30.49401556
5/15/12	1337040000000	5.375	236.1666667	1	0.000647222	1	62.54575111
5/16/12	1337126400000	6.083333333	176.2916667	2	0.002716288	1	56.45095556
5/17/12	1337212800000	4.458333333	360.875	3	0.000171011	0.5	36.53115255
5/18/12	1337299200000	2.583333333	346.1666667	4	0	0.5	42.95038978
5/19/12	1337385600000	3.166666667	358.5416667	5	0	0.5	5.00266908
5/20/12	1337472000000	4.666666667	226.875	6	0	0.5	5.013783497
5/21/12	1337558400000	1.916666667	199.3333333	0	0.000256016	0.5	36.98592897
5/22/12	1337644800000	3.333333333	87.41666667	1	0.001524451	0.5	30.27061786
5/23/12	1337731200000	5.958333333	250.3333333	2	0.002188805	0.5	77.56078988
5/24/12	1337817600000	5.833333333	211.1666667	3	0.001849302	0.5	101.945879
5/25/12	1337904000000	5.958333333	89.75	4	0.002231183	0.5	37.31740462
5/26/12	1337990400000	12.5	282.2916667	5	0.003514619	0.5	5.497840429
5/27/12	1338076800000	6.954166667	314.125	6	0.0006478	0.5	5.634599646
5/28/12	1338163200000	5.35	216.625	0	0.001526809	0.2	63.25501357
5/29/12	1338249600000	4.916666667	326.5416667	1	0.002258883	0.4875	44.7160572
5/30/12	1338336000000	9.125	118.6666667	2	0.002468382	0.5	49.18212098
6/2/12	1338595200000	3	17.45833333	5	0.001055334	0.5	4.287818654
6/3/12	1338681600000	2.666666667	133.2083333	6	0.000538629	0.5	3.983740368
6/4/12	1338768000000	0	28.16666667	0	0	0.5	9.438536318
6/5/12	1338854400000	0.083333333	76.25	1	0	0.5	6.445386441
6/6/12	1338940800000	1.666666667	328.3333333	2	0	0.5	15.30247121
6/7/12	1339027200000	2.5	306.125	3	0.000144536	0.5	22.16632101
6/8/12	1339113600000	5.708333333	314.75	4	0.000915047	0.5	42.93806008
6/9/12	1339200000000	9.208333333	218.8333333	5	0.000220516	0.5	26.5183811
6/10/12	1339286400000	7.375	371.0416667	6	8.31E-05	0.5	37.85043916
6/11/12	1339372800000	5.791666667	299.75	0	0.000165521	0.5	70.72119215
6/12/12	1339459200000	7.291666667	202.375	1	0.000766383	0.5	68.14261875
6/13/12	1339545600000	5.458333333	49.41666667	2	0.002836372	0.5	35.74095287
6/14/12	1339632000000	5.708333333	247.0416667	3	0.000691905	0.5	43.41887305
6/15/12	1339718400000	5.75	378	4	0	0.5	59.69712925
6/16/12	1339804800000	3.625	362.6666667	5	3.62E-05	0.5	16.93206727
6/17/12	1339891200000	2.5	263.7083333	6	0	0.5	18.0688789
6/18/12	1339977600000	3.5	353.0416667	0	8.97E-05	0.5	50.84566891
6/19/12	1340064000000	7.125	269.4166667	1	0.001181795	0.5	64.94474862
6/20/12	1340150400000	16.20833333	353.2083333	2	0.005418184	0.5	160.2757105
6/21/12	1340236800000	19.16666667	362.5833333	3	0.005029037	0.5	181.7540046
6/22/12	1340323200000	17.125	327.4166667	4	0.004147929	0.5	172.5875766
6/23/12	1340409600000	10.41666667	221.5	5	0.003600725	0.5	57.72624108
6/24/12	1340496000000	11.45833333	357.625	6	0.000458779	0.5	51.93282677
6/25/12	1340582400000	8.291666667	167.4583333	0	0.002356515	0.5	71.00688048
6/26/12	1340668800000	6.625	298.125	1	0.000655908	0.5	53.28148112
6/27/12	1340755200000	8.416666667	235.9166667	2	0	0.5	51.66181462
6/28/12	1340841600000	10.33333333	354.7083333	3	0.000716838	0.5	90.39502222
