date,occupancy,heating degrees,electricity-kWh
1/1/12,0,7.826086957,2800.244977
1/2/12,0.3,9.166666667,3168.974047
1/3/12,0.3,18.20833333,5194.533376
1/4/12,0.3,22.08333333,5354.861935
1/5/12,0.3,15.58333333,5496.223993
1/6/12,0.3,13.375,5414.499703
1/7/12,0.3,8.508333333,4138.989708
1/8/12,0.3,10.16666667,4301.957494
1/9/12,0.3,14.95833333,5626.493403
1/10/12,0.3,11.54166667,5370.202795
1/11/12,0.3,13.29166667,5411.600996
1/12/12,0.3,11.04166667,5518.026707
1/13/12,0.3,11.45833333,5313.596132
1/14/12,0.3,16.5,3881.15439
1/15/12,0.3,25.79166667,3975.859691
1/16/12,0.3,21.125,5125.751809
1/17/12,0.3,11.125,5722.366925
1/18/12,0.3,12.04166667,5952.70859
1/19/12,0.3,19.25,6234.768844
1/20/12,0.3,16.83333333,5862.304
1/21/12,0.3,21.625,4167.754841
1/22/12,0.3,19.79166667,4086.755643
1/23/12,0.970833333,12.45833333,6133.59513
1/24/12,1,4.916666667,6184.188663
1/25/12,1,11.16666667,6313.664206
1/26/12,1,13.20833333,6066.265461
1/27/12,1,9.291666667,5893.169276
1/28/12,0.5,10.16666667,4156.091295
1/29/12,0.5,11.41666667,4626.334541
1/30/12,1,13.74166667,6501.386374
2/2/12,1,11.41666667,6597.074673
2/3/12,1,14.79166667,6486.084238
2/4/12,0.5,12.41666667,4707.622888
2/5/12,0.5,16.70833333,4725.595915
2/6/12,1,11.25,6489.821974
2/7/12,1,10.58333333,6769.173239
2/8/12,1,16.04166667,6629.648039
2/9/12,1,11.125,6244.393087
2/10/12,1,9.875,6189.674745
2/11/12,0.5,13.16666667,4502.677103
2/12/12,0.5,20.5,5065.437192
2/13/12,1,15.95833333,6568.122099
2/14/12,1,12.75,6443.456199
2/15/12,1,11.08333333,6289.994448
2/16/12,1,10.70833333,6148.276689
2/17/12,1,8.416666667,5987.647972
2/18/12,0.5,10.625,4422.632954
2/19/12,0.5,12.20833333,4597.080767
2/20/12,1,14.20833333,5994.106795
2/21/12,1,13.16666667,6348.515809
2/22/12,1,7.1625,6160.973866
2/23/12,1,6.666666667,6353.031
2/24/12,1,11.16666667,5865.929734
2/25/12,0.5,10.75,4257.474005
2/26/12,0.5,13.83333333,4545.815506
2/27/12,1,11.04166667,6341.988976
2/28/12,1,9.583333333,6466.90418
3/1/12,1,13.29166667,6486.929942
3/2/12,1,17.25,6252.111251
3/3/12,0.5,10.20833333,5184.416657
3/4/12,0.5,11.41666667,5172.286703
3/5/12,1,14.91666667,6620.575455
3/6/12,1,16.58333333,7125.525967
3/7/12,1,6.916666667,6809.026215
3/8/12,1,1.541666667,6477.297168
3/9/12,1,7.958333333,5778.923974
3/10/12,0.4,13.70833333,4344.739946
3/11/12,0.4,8.041666667,4361.421717
3/12/12,0.4,3.3625,5636.66881
3/13/12,0.4,2.125,5460.552648
3/14/12,0.4,8.291666667,5276.293857
3/15/12,0.4,11.45833333,5637.724037
3/16/12,0.4,9.958333333,5727.275695
3/17/12,0.4,7.833333333,4783.414776
3/18/12,0.4,3.875,4755.617075
3/19/12,0.975,3.458333333,6155.474195
3/20/12,1,3.125,6174.919248
3/21/12,1,0.125,6346.426965
3/22/12,1,0.083333333,6595.03643
3/23/12,1,0,6369.525705
3/24/12,0.5,5.833333333,4845.883111
3/25/12,0.5,7.833333333,4639.331155
3/26/12,1,9.791666667,6430.348046
3/27/12,1,12.08333333,6885.343721
3/28/12,1,7.875,6631.914476
3/29/12,1,8.75,6798.144761
3/30/12,1,9.083333333,6699.534769
4/2/12,1,8.791666667,6860.249999
4/3/12,1,6.416666667,7042.898963
4/4/12,1,3.875,6849.202572
4/5/12,1,7.916666667,6867.328536
4/7/12,0.5,8.75,5257.049152
4/8/12,0.5,7.333333333,5474.994436
4/10/12,1,3.091666667,6648.989642
4/11/12,1,5.75,6977.851657
4/12/12,1,6.833333333,6926.286189
4/13/12,1,3.75,6378.414009
4/14/12,0.5,1.541666667,5487.778901
4/15/12,0.5,0.25,5377.877873
4/17/12,1,0.083333333,7072.607034
4/18/12,1,3.5,7021.752219
4/19/12,1,2.833333333,6906.130441
4/20/12,1,1.75,6707.437204
4/21/12,0.5,0.666666667,5565.281496
4/22/12,0.5,4.541666667,5481.693887
4/23/12,1,2.458333333,6885.354777
4/24/12,1,4.5,6999.266045
4/25/12,1,3.875,7286.283976
4/26/12,1,4.375,7870.14299
4/27/12,1,4.333333333,7310.562761
4/28/12,0.5,6.458333333,5794.11738
4/29/12,0.5,4.875,6007.983729
4/30/12,1,5.625,7238.468937
5/1/12,1,6.833333333,7220.297349
5/2/12,1,6.541666667,7105.483835
5/3/12,1,6.25,6573.69578
5/4/12,1,4.083333333,6409.015734
5/5/12,0.5,4.291666667,5417.12256
5/6/12,0.5,4.833333333,5645.66565
5/7/12,1,2.416666667,6849.265625
5/8/12,1,2.583333333,6824.749821
5/9/12,1,0.5,6557.755574
5/10/12,1,1.375,6699.281346
5/11/12,1,2.666666667,6816.409222
5/12/12,0.5,1.125,5516.229607
5/13/12,0.5,0,5505.54094
5/14/12,1,2,6383.622358
