date,heating degrees,occupancy,steam-LBS
1/1/12,7.826086957,0,17256.4681
1/2/12,9.166666667,0.3,17078.44076
1/3/12,18.20833333,0.3,59997.9694
1/4/12,22.08333333,0.3,56104.87891
1/5/12,15.58333333,0.3,45231.70898
1/6/12,13.375,0.3,41182.95247
1/7/12,8.508333333,0.3,24510.39388
1/8/12,10.16666667,0.3,31754.59635
1/9/12,14.95833333,0.3,42684.64844
1/10/12,11.54166667,0.3,33138.35938
1/11/12,13.29166667,0.3,34495.28971
1/12/12,11.04166667,0.3,35106.01237
1/13/12,11.45833333,0.3,29408.71094
1/14/12,16.5,0.3,30238.01188
1/15/12,25.79166667,0.3,43558.01676
1/16/12,21.125,0.3,52867.26563
1/17/12,11.125,0.3,37525.10742
1/18/12,12.04166667,0.3,42445.32227
1/19/12,19.25,0.3,52146.32813
1/20/12,16.83333333,0.3,44846.52127
1/21/12,21.625,0.3,46588.95562
1/22/12,19.79166667,0.3,40979.3903
1/23/12,12.45833333,0.970833333,35732.07129
1/24/12,4.916666667,1,23362.70996
1/25/12,11.16666667,1,32435.66081
1/26/12,13.20833333,1,34713.24805
1/27/12,9.291666667,1,32665.99674
1/28/12,10.16666667,0.5,21102.65788
1/29/12,11.41666667,0.5,30107.60254
1/30/12,13.74166667,1,40511.43555
2/2/12,11.41666667,1,36012.82552
2/3/12,14.79166667,1,38869.92025
2/4/12,12.41666667,0.5,29365.35482
2/5/12,16.70833333,0.5,34842.94922
2/6/12,11.25,1,31931.93034
2/7/12,10.58333333,1,32421.48438
2/8/12,16.04166667,1,39047.94596
2/9/12,11.125,1,30611.65039
2/10/12,9.875,1,28196.67318
2/11/12,13.16666667,0.5,31864.08203
2/12/12,20.5,0.5,44307.60091
2/13/12,15.95833333,1,40873.3252
2/14/12,12.75,1,36284.9349
2/15/12,11.08333333,1,29506.02702
2/16/12,10.70833333,1,29247.6709
2/17/12,8.416666667,1,29601.34928
2/18/12,10.625,0.5,25972.40234
2/19/12,12.20833333,0.5,28570.91797
2/20/12,14.20833333,1,38409.99186
2/21/12,13.16666667,1,33526.73991
2/22/12,7.1625,1,22153.63607
2/23/12,6.666666667,1,24345.39714
