date,apparentTemperatureMax,apparentTemperatureMin,cloudCover,dewPoint,humidity,moonPhase,pressure,temperatureMax,temperatureMin,visibility,windBearing,windSpeed,electric
1/1/2015,37.66,17.27,0.16,11.57,0.44,0.37,1034.36,43.73,23.85,6.08,325,5.92,2900575
1/2/2015,48,17.56,0.05,16.82,0.53,0.4,1030.63,49.37,22.27,4.2,98,1.24,3158211
1/3/2015,57.42,31.73,0.08,25.78,0.52,0.44,1022.37,57.42,34.95,3.26,150,4.93,3596487
1/4/2015,64,32.22,0.01,31.21,0.6,0.47,1017.43,64,32.22,2.76,118,3.16,3939672
1/5/2015,59.22,36.2,0.16,39.53,0.67,0.51,1013.71,59.22,41.12,1.86,197,2.21,4101790
1/6/2015,45.81,28.73,0.45,33.96,0.73,0.54,1024.85,49.9,34.95,3.53,0,11.24,4149164
1/7/2015,45,26.92,0.13,26.93,0.66,0.57,1029.57,45,31.95,4.19,328,5.79,4161928
1/8/2015,46,23.68,0.03,24.64,0.66,0.59,1032.5,48,27.85,2.7,317,3.74,4182622
1/9/2015,54.05,27.23,0,29.32,0.68,0.62,1029.94,54.05,29.9,2.14,242,2.04,4153509
1/10/2015,58.37,32.02,0.06,31.21,0.68,0.65,1027.76,58.37,32.02,1.9,236,2.48,3913704
1/11/2015,60.37,29.85,0.02,32.28,0.68,0.68,1029.58,60.37,29.85,2.23,39,3.67,3635468
1/12/2015,40.64,29.58,0.21,32.74,0.72,0.71,1034.87,45.95,36.05,3.81,71,9.16,4011329
1/13/2015,41.29,34.42,0.31,37.85,0.84,0.74,1030.82,44.73,39.57,3.62,67,7.32,3969860
1/14/2015,42.72,35.76,0.25,41.43,0.91,0.78,1027.94,45.95,42.11,2.67,345,6.61,4225259
1/15/2015,45.32,38.16,0.61,38.12,0.81,0.81,1028.2,46.11,40.12,2.4,314,5.66,4106437
1/16/2015,47.37,32.79,0.46,36.1,0.8,0.84,1027.87,47.37,36.22,1.73,291,4.76,4074699
1/17/2015,43,28.17,0.08,26.87,0.66,0.88,1033.78,43,32.71,3.38,35,4.34,4053950
1/18/2015,50.73,25.76,0.08,29.61,0.68,0.91,1027.3,50.73,30.91,2.34,253,5.06,3827153
1/19/2015,54.68,29.05,0.07,25.84,0.56,0.95,1028.61,54.68,32.85,3.3,358,1.42,4099085
1/20/2015,54.05,35.46,0.13,33.02,0.61,0.98,1023.94,54.05,40,4.39,122,6.91,4166022
1/21/2015,57.63,33.81,0.09,35.82,0.67,0.03,1022.62,57.63,38.9,2.22,282,6.03,4091559
1/22/2015,45.68,26.52,0.12,30.12,0.73,0.06,1026.55,45.68,31.48,2.02,322,5,4197553
1/23/2015,52.73,23.9,0.06,31.49,0.76,0.1,1022.76,52.73,27.74,1.49,112,4.12,4153027
1/24/2015,59.63,32.49,0.1,40.26,0.78,0.13,1021,59.63,36.85,1.36,99,5.47,3841539
1/25/2015,51.58,41.41,0.35,45.13,0.9,0.17,1021.68,51.58,44.16,0.79,287,3.43,3658452
1/26/2015,45.95,38.95,0.25,41.41,0.87,0.21,1024.99,47.27,42.67,1.26,10,5.75,3969836
1/27/2015,39.6,25.03,0.96,33.7,0.82,0.25,1030.36,45,32.63,2.88,32,10.23,4250943
1/28/2015,30.39,22.87,0.7,30.54,0.86,0.28,1030.63,36.85,31.9,3.36,47,8.55,4146675
1/29/2015,30.83,25.21,0.7,33.01,0.95,0.32,1028.87,36.22,32.52,2.72,21,7.04,4155199
1/30/2015,34.95,24.36,0.46,28.82,0.78,0.35,1033.1,39.63,31.9,2.48,339,7.31,4015565
1/31/2015,39.53,25.04,0.34,23.85,0.62,0.38,1036.95,40.9,31.27,5.84,8,7.23,3895604
2/1/2015,40.27,27.19,0.7,28.43,0.71,0.41,1034.88,40.27,33.84,6.04,50,4.66,3678729
2/2/2015,43.63,31.23,0.38,34.09,0.82,0.45,1032.73,43.63,34.22,3.82,51,4.33,3983918
2/3/2015,43.63,36.22,0.25,36.15,0.85,0.47,1031.76,43.63,37.5,2.87,344,3.71,3962811
2/4/2015,46.63,26.88,0.15,29.65,0.7,0.51,1030.08,46.63,31.48,1.79,300,5.78,3904604
2/5/2015,45,24.15,0.17,21.39,0.55,0.54,1032.37,45.05,29.9,4.34,328,7.07,3812319
2/6/2015,48,27.36,0.14,23.62,0.61,0.57,1028.02,48,29.56,4.51,199,2.47,3808081
2/7/2015,54.68,29.9,0.11,27.77,0.61,0.6,1025.35,54.68,29.9,3.26,316,1.52,3503405
2/8/2015,43,23.96,0.13,19.58,0.52,0.63,1034.66,43,28.81,5.34,8,11.12,3476838
2/9/2015,43,17.55,0.1,17.11,0.56,0.66,1033.63,43,24.58,5.63,26,2.26,3562045
2/10/2015,53.37,23.85,0.06,20.47,0.55,0.69,1023.31,53.37,23.85,5.3,196,2.73,3221193
2/11/2015,60.37,29.81,0.02,29.98,0.55,0.72,1015.79,60.37,33.58,4,247,6.21,2909801
2/12/2015,57.73,31.79,0.05,29.93,0.57,0.75,1019.26,57.73,35.48,2.71,346,2.81,2934951
2/13/2015,57.73,34.5,0.04,35.6,0.69,0.79,1020.92,57.73,37.58,2.28,109,5.79,2847925
2/14/2015,68.1,33.95,0.12,41.93,0.71,0.82,1017.75,68.1,38.85,2.09,136,6.43,2526925
2/15/2015,61.95,52.39,0.28,53.05,0.9,0.86,1015.14,61.95,52.39,2.21,210,3.51,2311930
2/16/2015,59,44.67,0.27,47.37,0.82,0.89,1019.28,59,44.67,1.99,301,6.16,2243961
2/17/2015,59.73,36.6,0.1,38.69,0.73,0.93,1022.19,59.73,40.9,1.52,66,5.15,2121020
2/18/2015,52.63,31.91,0.2,32.29,0.65,0.97,1027.97,52.63,36.94,3.4,57,8.49,1589939
